Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,7721148,7721,
煤及煤產品,電力系統,28442428,28442,
煤炭的製造與分銷,能源部門自用,1138147,1138,
煤炭的製造與分銷,電網損耗,88900,89,
煤炭的製造與分銷,工業部門,6243585,6244,
煤炭的製造與分銷,運輸部門,0,0,
煤炭的製造與分銷,農業部門,0,0,
煤炭的製造與分銷,服務業部門,0,0,
煤炭的製造與分銷,住宅部門,0,0,
煤炭的製造與分銷,非能源消費,250516,251,
原油及石油產品,原油及石油的製造與分銷,40550896,40551,
原油及石油產品,電力系統,2930441,2930,
原油及石油的製造與分銷,能源部門自用,2813460,2813,
原油及石油產品,電網損耗,0,0,
原油及石油的製造與分銷,工業部門,1768067,1768,
原油及石油的製造與分銷,運輸部門,12193515,12194,
原油及石油的製造與分銷,農業部門,384646,385,
原油及石油的製造與分銷,服務業部門,895827,896,
原油及石油的製造與分銷,住宅部門,1090625,1091,
原油及石油的製造與分銷,非能源消費,21404757,21405,
天然氣,天然氣的生產與分銷,3896490,3896,
天然氣,電力系統,16033582,16034,
天然氣的生產與分銷,能源部門自用,310139,310,
天然氣的生產與分銷,電網損耗,0,0,
天然氣的生產與分銷,工業部門,2499199,2499,
天然氣的生產與分銷,運輸部門,0,0,
天然氣的生產與分銷,農業部門,3316,3,
天然氣的生產與分銷,服務業部門,436310,436,
天然氣的生產與分銷,住宅部門,647526,648,
天然氣的生產與分銷,非能源消費,0,0,
生質能及廢棄物,能源部門自用,72,0,
生質能及廢棄物,生質能的生產與分銷,388167,388,
生質能及廢棄物,電力系統,1067283,1067,
生質能的生產與分銷,工業部門,388095,388,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,5849305,5849,
水力,電力系統,755122,755,
地熱,電力系統,0,0,
太陽光電,電力系統,143401,143,
風力,電力系統,148131,148,
電力系統,能源部門自用,1707324,1707,
電力系統,電網損耗,759148,759,
電力系統,工業部門,12135587,12136,
電力系統,運輸部門,128538,129,
電力系統,農業部門,261181,261,
電力系統,服務業部門,4152967,4153,
電力系統,住宅部門,4094343,4094,
電力系統,轉換效率損失,32130606,32131,
工業部門,礦業及土石採取業(不含煤、油及氣),68485,68,
工業部門,食品飲料及菸草業,700696,701,
工業部門,紡織成衣及服飾業,1075759,1076,
工業部門,皮革及毛皮業,34824,35,
工業部門,木竹及家具業,42467,42,
工業部門,紙漿、紙及紙製品業,925137,925,
工業部門,印刷業,55334,55,
工業部門,化學材料製造業,6712936,6713,
工業部門,基本化學材料製造業,4997171,4997,
工業部門,(基本化學工業),531834,532,
工業部門,(石油化工原料製造業),4312812,4313,
工業部門,(肥料製造業),0,0,
工業部門,人造纖維製造業,1095537,1096,
工業部門,樹脂塑膠及橡膠製造業,446971,447,
工業部門,其他化學材料製造業,173258,173,
工業部門,化學製品製造業,471906,472,
工業部門,橡膠製品製造業,198353,198,
工業部門,塑膠製品製造業,679098,679,
工業部門,非金屬礦物製品製造業,2066142,2066,
工業部門,水泥及水泥製品業,1087530,1088,
工業部門,其他,978612,979,
工業部門,(陶瓷製品製造業),95409,95,
工業部門,(玻璃及玻璃製品製造業),284654,285,
工業部門,金屬基本工業,3978246,3978,
工業部門,鋼鐵基本工業,3784667,3785,
工業部門,非鐵金屬基本工業,193579,194,
工業部門,(鋁業),105174,105,
工業部門,金屬製品製造業,842498,842,
工業部門,機械設備製造業,215400,215,
工業部門,電腦通信及視聽電子產品製造業,4724679,4725,
工業部門,(電子零組件製造業),3129413,3129,
工業部門,運輸工具製造業,282003,282,
工業部門,精密光學醫療器材及鐘錶製造業,150359,150,
工業部門,其他工業製品製造工業,292099,292,
工業部門,用水供應及污染整治業,461772,462,
工業部門,營造業,104304,104,
工業部門,其他,99868,100,
運輸部門,國內航空,97719,98,
運輸部門,公路,11908220,11908,
運輸部門,鐵路,139587,140,
運輸部門,管線運輸,3249,3,
運輸部門,國內水運,173277,173,
運輸部門,其他,0,0,
農業部門,農牧及林業,246740,247,
農業部門,漁業,402403,402,
服務業部門,批發及零售業,444365,444,
服務業部門,住宿及餐飲業,1062882,1063,
服務業部門,運輸服務業,133611,134,
服務業部門,倉儲業,85139,85,
服務業部門,通信業,126045,126,
服務業部門,金融保險及不動產業,87982,88,
服務業部門,工商服務業,145199,145,
服務業部門,社會服務及個人服務業,767242,767,
服務業部門,公共行政業,795658,796,
服務業部門,其他,1840034,1840,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
