Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,3009376,3009,
煤及煤產品,電力系統,5074376,5074,
煤炭的製造與分銷,能源部門自用,387115,387,
煤炭的製造與分銷,電網損耗,3268,3,
煤炭的製造與分銷,工業部門,2618994,2619,
煤炭的製造與分銷,非能源消費,0,0,
原油及石油產品,原油及石油的製造與分銷,16806655,16807,
原油及石油產品,電力系統,1418483,1418,
原油及石油的製造與分銷,能源部門自用,2001422,2001,
原油及石油的製造與分銷,工業部門,4536766,4537,
原油及石油的製造與分銷,運輸部門,4704190,4704,
原油及石油的製造與分銷,農業部門,848142,848,
原油及石油的製造與分銷,服務業部門,1092698,1093,
原油及石油的製造與分銷,住宅部門,9046,9,
原油及石油的製造與分銷,非能源消費,3614390,3614,
天然氣,天然氣的生產與分銷,451419,451,
天然氣,電力系統,0,0,
天然氣的生產與分銷,能源部門自用,39683,40,
天然氣的生產與分銷,工業部門,109944,110,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,82683,83,
天然氣的生產與分銷,住宅部門,0,0,
生質能及廢棄物,生質能的生產與分銷,0,0,
生質能及廢棄物,電力系統,0,0,
生質能的生產與分銷,工業部門,0,0,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,8633242,8633,
水力,電力系統,612169,612,
地熱,電力系統,2431,2,
太陽光電,電力系統,0,0,
風力,電力系統,0,0,
電力系統,能源部門自用,611188,611,
電力系統,電網損耗,318350,318,
電力系統,工業部門,3048287,3048,
電力系統,運輸部門,18968,19,
電力系統,農業部門,151852,152,
電力系統,服務業部門,776381,776,
電力系統,住宅部門,20843,21,
電力系統,轉換效率損失,10794831,10795,
    工業部門,        礦業及土石採取業(不含煤、油及氣),58962,59,
工業部門,        食品飲料及菸草業,605600,606,
工業部門,        紡織成衣及服飾業,1370338,1370,
工業部門,        皮革及毛皮業,35041,35,
工業部門,        木竹及家具業,73800,74,
工業部門,        紙漿、紙及紙製品業      ,747800,748,
工業部門,        印刷業,14704,15,
工業部門,        化學材料製造業  ,1991479,1991,
工業部門,            基本化學材料製造業 ,1163469,1163,
工業部門,                (基本化學工業),1096108,1096,
工業部門,                (石油化工原料製造業),46948,47,
工業部門,                (肥料製造業),20413,20,
工業部門,            人造纖維製造業,409274,409,
工業部門,            樹脂塑膠及橡膠製造業,398588,399,
工業部門,            其他化學材料製造業,20148,20,
工業部門,        化學製品製造業,180312,180,
工業部門,        橡膠製品製造業,133986,134,
工業部門,        塑膠製品製造業,345076,345,
工業部門,        非金屬礦物製品製造業,2381505,2382,
工業部門,            水泥及水泥製品業,1462260,1462,
工業部門,            其他,919245,919,
工業部門,                (陶瓷製品製造業),167586,168,
工業部門,                (玻璃及玻璃製品製造業) ,249915,250,
工業部門,        金屬基本工業,1297736,1298,
工業部門,            鋼鐵基本工業,1204854,1205,
工業部門,            非鐵金屬基本工業,92882,93,
工業部門,                (鋁業),5671,6,
工業部門,        金屬製品製造業,263761,264,
工業部門,        機械設備製造業,107803,108,
工業部門,        電腦通信及視聽電子產品製造業,316571,317,
工業部門,            (電子零組件製造業),0,0,
工業部門,        運輸工具製造業,116501,117,
工業部門,        精密光學醫療器材及鐘錶製造業,0,0,
工業部門,        其他工業製品製造工業,99740,100,
工業部門,        用水供應及污染整治業,56074,56,
工業部門,        營造業,117202,117,
工業部門,        其他,0,0,
運輸部門,        國內航空,65807,66,
運輸部門,        公路,4416172,4416,
運輸部門,        鐵路,61893,62,
運輸部門,        管線運輸,0,0,
運輸部門,        國內水運 ,179841,180,
運輸部門,        其他,0,0,
農業部門,        農牧及林業,22021,22,
農業部門,        漁業,977975,978,
服務業部門,        批發及零售業,92309,92,
服務業部門,        住宿及餐飲業,216922,217,
服務業部門,        運輸服務業,22049,22,
服務業部門,        倉儲業,23431,23,
服務業部門,        通信業,38410,38,
服務業部門,        金融保險及不動產業,29889,30,
服務業部門,        工商服務業,8437,8,
服務業部門,        社會服務及個人服務業,117916,118,
服務業部門,        公共行政業,971861,972,
服務業部門,        其他 ,467687,468,
住宅部門,   工業、轉變及能源部門,3833499,3833,
住宅部門,   (石化原料用),2254670,2255,
住宅部門,   運輸部門,0,0,
住宅部門,   其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
