Source,Target,Value(KLOE),Value(kKLOE),
煤及煤產品,煤炭的製造與分銷,6766892,6767,
煤及煤產品,電力系統,26319540,26320,
煤炭的製造與分銷,能源部門自用,800943,801,
煤炭的製造與分銷,電網損耗,52601,53,
煤炭的製造與分銷,工業部門,5712761,5713,
煤炭的製造與分銷,非能源消費,200587,201,
原油及石油產品,原油及石油的製造與分銷,38559007,38559,
原油及石油產品,電力系統,3862592,3863,
原油及石油的製造與分銷,能源部門自用,3112906,3113,
原油及石油的製造與分銷,工業部門,5584435,5584,
原油及石油的製造與分銷,運輸部門,12408930,12409,
原油及石油的製造與分銷,農業部門,845633,846,
原油及石油的製造與分銷,服務業部門,1143728,1144,
原油及石油的製造與分銷,住宅部門,7058,7,
原油及石油的製造與分銷,非能源消費,15456318,15456,
天然氣,天然氣的生產與分銷,1470704,1471,
天然氣,電力系統,6773516,6774,
天然氣的生產與分銷,能源部門自用,348293,348,
天然氣的生產與分銷,工業部門,819944,820,
天然氣的生產與分銷,農業部門,0,0,
天然氣的生產與分銷,服務業部門,301982,302,
天然氣的生產與分銷,住宅部門,486,0,
生質能及廢棄物,生質能的生產與分銷,427401,427,
生質能及廢棄物,電力系統,1008108,1008,
生質能的生產與分銷,工業部門,427401,427,
生質能的生產與分銷,運輸部門,0,0,
核能,電力系統,10416705,10417,
水力,電力系統,680251,680,
地熱,電力系統,0,0,
太陽光電,電力系統,83,0,
風力,電力系統,7852,8,
電力系統,能源部門自用,1681388,1681,
電力系統,電網損耗,777101,777,
電力系統,工業部門,9416371,9416,
電力系統,運輸部門,48485,48,
電力系統,農業部門,214105,214,
電力系統,服務業部門,3788720,3789,
電力系統,住宅部門,96808,97,
電力系統,轉換效率損失,33045669,33046,
工業部門,礦業及土石採取業(不含煤、油及氣),71146,71,
工業部門,食品飲料及菸草業,697070,697,
工業部門,紡織成衣及服飾業,1710709,1711,
工業部門,皮革及毛皮業,62411,62,
工業部門,木竹及家具業,47555,48,
工業部門,紙漿、紙及紙製品業,1168711,1169,
工業部門,印刷業,54665,55,
工業部門,化學材料製造業,6944208,6944,
工業部門,基本化學材料製造業,4729136,4729,
工業部門,(基本化學工業),806712,807,
工業部門,(石油化工原料製造業),3769357,3769,
工業部門,(肥料製造業),10746,11,
工業部門,人造纖維製造業,1149847,1150,
工業部門,樹脂塑膠及橡膠製造業,658253,658,
工業部門,其他化學材料製造業,406973,407,
工業部門,化學製品製造業,477045,477,
工業部門,橡膠製品製造業,121753,122,
工業部門,塑膠製品製造業,445202,445,
工業部門,非金屬礦物製品製造業,2803136,2803,
工業部門,水泥及水泥製品業,1937071,1937,
工業部門,其他,866065,866,
工業部門,(陶瓷製品製造業),113903,114,
工業部門,(玻璃及玻璃製品製造業),194074,194,
工業部門,金屬基本工業,3610103,3610,
工業部門,鋼鐵基本工業,3390028,3390,
工業部門,非鐵金屬基本工業,220075,220,
工業部門,(鋁業),106635,107,
工業部門,金屬製品製造業,622340,622,
工業部門,機械設備製造業,161084,161,
工業部門,電腦通信及視聽電子產品製造業,2634193,2634,
工業部門,(電子零組件製造業),1544757,1545,
工業部門,運輸工具製造業,247558,248,
工業部門,精密光學醫療器材及鐘錶製造業,51496,51,
工業部門,其他工業製品製造工業,259447,259,
工業部門,用水供應及污染整治業,421891,422,
工業部門,營造業,141204,141,
工業部門,其他,24582,25,
運輸部門,國內航空,197933,198,
運輸部門,公路,11825081,11825,
運輸部門,鐵路,75842,76,
運輸部門,管線運輸,3527,4,
運輸部門,國內水運,355032,355,
運輸部門,其他,0,0,
農業部門,農牧及林業,126683,127,
農業部門,漁業,933055,933,
服務業部門,批發及零售業,534614,535,
服務業部門,住宿及餐飲業,1000855,1001,
服務業部門,運輸服務業,90737,91,
服務業部門,倉儲業,67378,67,
服務業部門,通信業,131412,131,
服務業部門,金融保險及不動產業,104352,104,
服務業部門,工商服務業,79019,79,
服務業部門,社會服務及個人服務業,715952,716,
服務業部門,公共行政業,881608,882,
服務業部門,其他,1631136,1631,
住宅部門,工業、轉變及能源部門,15656906,15657,
住宅部門,(石化原料用),12179045,12179,
住宅部門,運輸,0,0,
住宅部門,其他,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
