Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60
2.年能源平衡表（公噸油當量單位）_YearlyEnergyBalance(CalorificUnit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113年(2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：公噸油當量;107千卡(tonneofoilequivalent;107kilocalorie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,Item,,
,,,煤及煤產品,煙煤-煉焦煤,煙煤-燃料煤,無煙煤,亞煙煤,褐煤,泥煤,焦炭,煤球,焦爐氣,高爐氣,轉爐氣,原油及石油產品,原油,煉油廠進料,添加劑/含氧化合物,煉油氣,液化石油氣,(丙烷混合氣),天然汽油,石油腦,車用汽油,(無鉛汽油),航空汽油,航空燃油-汽油型,航空燃油-煤油型,煤油,柴油,燃料油,白精油,潤滑油,柏油,溶劑油,石蠟,石油焦,其他石油產品,天然氣,(自產)天然氣,(進口)液化天然氣,生質能及廢棄物,生質能,固態生質能,液態生質能,氣態生質能,廢棄物,核能,水力,地熱,太陽光電,風力,電力,太陽熱能,熱能,總計,,,
,,,CoalandCoal,BituminousCoal-,BituminousCoal-,Anthracite,Sub-bituminous,Lignite,Peat,CokeOvenCoke,PatentFuel,CokeOvenGas,BlastFurnaceGas,OxygenSteel,CrudeOiland,CrudeOil,Refinery,Additives/,RefineryGas,LPG,(PropaneAir),NaturalGasoline,Naphthas,MotorGasoline,(Unleaded,Aviation,JetFuel-,JetFuel-,Kerosene,DieselOil,FuelOil,WhiteSpirits,Lubricants,Asphalts,Solvents,ParaffinWaxes,PetroleumCoke,OtherPetroleum,NaturalGas,(Indigenous),(Imported),Biomassand,Biomasss,SolidBiomass,LiquidBiomass,Biogas,Waste,Nuclear,Hydro,Geothermal,SolarPV,Wind,Electricity,SolarThermal,Heat,Total,,,
,,,Products,CokingCoal,SteamCoal,,Coal,,,,,,,FurnaceGas,PetroleumProducts,,Feedstocks,Oxygenates,,,,,,,Gasoline),Gasoline,GasolineType,KeroseneType,,,,,,,,,,Products,,NaturalGas,LNG,Waste,,,,,,,,,,,,,,C1+C13+C37+C40,,,
,,,C2~C12,,,,,,,,,,,,C14~C36,,,,,,,,,,,,,,,,,,,,,,,,C38~C39,,,C41+C45,C42~C44,,,,,,,,,,,,,+C46~C53,,,
1,,自產,,,,,,,,,,,,,336726.4582,1338.087257,335388.3709,,,,,,,,,,,,,,,,,,,,,,55238.68968,55238.68968,,1847315.472,179036.3969,156789.42,17.808,22229.16896,1668279.075,,361902.4624,22997.03124,1315450.103,903843.7848,,,,4843474.001,1,,IndigenousProduction
2,+,進口,33341896.96,4141489.073,24040557.97,24905.2167,5027567.982,,,107376.7164,,,,,48639425.44,38802666.91,,190596.297,,1371599.503,,,6274937.403,384371.9002,384371.9002,,,144500.357,,,1007317.518,,234026.4872,73257.9666,76825.25023,21123.52941,5457.7005,52744.61497,24591057.18,,24591057.18,25.416,25.416,,25.416,,,3174179.863,,,,,,,,109746584.9,2,+,Import
3,-,出口,34377.28112,,,686.21074,,,,33691.07038,,,,,14452023.86,,,307942.0495,,,,,81517.46413,3027107.736,3027107.736,,,565035.5872,,7345126.786,1721116.885,,593073.0652,178368.6868,80607.92183,1138.235294,458625.0161,92364.42128,,,,,,,,,,,,,,,,,,14486401.14,3,-,Exports
4,-,國際海運,,,,,,,,,,,,,1249004.754,,,,,,,,,,,,,,,118994.5244,1130010.23,,,,,,,,,,,,,,,,,,,,,,,,,1249004.754,4,-,InternationalMarineBunkers
5,-,國際航空,,,,,,,,,,,,,3092830.418,,,,,,,,,,,,,3092830.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,3092830.418,5,-,InternationalCivilAviation
6,-,存貨變動,104127.0767,55030.13403,16527.14869,-2.1868,36686.45046,,,-4114.469645,,,,,212136.2275,-184901.4112,317.3193323,-72357.97034,,47725.17773,,,193112.6442,108661.459,108661.459,,,71346.32888,-876.6798,61805.44721,-107484.877,,1197.562681,-3112.506552,-9242.901635,2.2E-13,-13872.46067,119819.0957,-11972.07386,55068.52408,-67040.59794,-18.2259,-18.2259,,-18.2259,,,,,,,,,,,304273.0045,6,-,StockChanges
7,=,初級能源總供給,33203392.6,4086458.939,24024030.82,24221.19276,4990881.532,,,77800.11563,,,,,29970156.64,38988906.41,335071.0516,-44987.78218,,1323874.325,,,6000307.294,-2751397.295,-2751397.295,,,-3584711.977,876.6798,-7525926.758,-1736324.72,,-360244.1407,-101998.2136,5460.230029,19985.29412,-439294.8549,-159438.902,24658267.94,170.1655958,24658097.78,1847359.114,179080.0388,156789.42,61.4499,22229.16896,1668279.075,3174179.863,361902.4624,22997.03124,1315450.103,903843.7848,,,,95457549.55,7,=,TotalPrimaryEnergySupply
8,-,產品間轉換(轉出),,,,,,,,,,,,,2546352.907,,,,,119045.1834,,,1542109.36,85841.77008,85841.77008,,,76038.70159,,44701.84245,677423.2065,,332.095368,,857.09618,,,3.6510507,26377628.77,,26377628.77,40.71855,40.71855,,40.71855,,,,,,,,,,,28924022.4,8,-,Transfers(Input)
9,-,統計差異,406207.1574,244293.9491,-146219.8269,,273141.1317,,,34991.90349,,,-5E-12,-1E-12,-287964.4704,-3926.383332,6.66E-09,,,53566.10687,,,57752.95851,-66902.14022,-66902.14022,,,99361.48362,-24.1434,-59794.43719,-367997.9153,,,,,,,,-34142.52052,542.9201151,-34685.44064,0.44115,0.44115,-1E-12,0.44115,,3.7E-11,,,,,,-182915.8347,,,-98815.22711,9,-,StatisticalDifferences
10,-,轉變投入,33870940.54,3842164.99,21660940.69,,4717740.4,,,2854347.125,,288490.8446,409692.3156,97564.17563,40324113.7,38992832.79,145644.6633,190596.297,65491.24749,6239.447681,,,,,,,,,,59609.1387,861534.2928,,,,,,,2165.819459,19632583.61,2623.855641,19629959.75,1497447.08,154628.0273,133913.2928,,20714.73449,1342819.052,3174179.863,626379.3141,22997.03124,1315450.103,903843.7848,,,,101367935,10,-,TransformationInput
11,,煉焦工場/煤製品業,5075787.311,3842164.99,1233622.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5075787.311,11,,CokeOvens/ManufactureofCoalProducts
12,,高爐工場,4014240.711,,1159893.586,,,,,2854347.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014240.711,12,,BlastFurnaces
13,,煉油廠,,,,,,,,,,,,,39288479.12,38992832.79,105050.0332,190596.297,,,,,,,,,,,,,,,,,,,,,28493.13875,,28493.13875,,,,,,,,,,,,,,,39316972.26,13,,PetroleumRefineries
14,,石化工廠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,PetrochemicalIndustry
15,,公用發電廠,17351121.55,,12633381.15,,4717740.4,,,,,,,,867780.8833,,,,,,,,,,,,,,,57220.52988,810560.3534,,,,,,,,19376723.41,,19376723.41,,,,,,,3174179.863,626026.4436,14633.0591,428597.2077,903648.0034,,,,42742710.42,15,,PublicElectricityPlants
